,product_sku,total_submitted_orders,avg_m12_low_price,avg_m12_high_price,total_preds,discount_12m,high_price_12m,active_price_12m,snapshot_date,abs_diff_price,orders_diff
128403,GRB100P15895,0,8.39999999999999,8.82857142857142,2.21305280923843,55.0,8.9,4.005,2023-10-30,4.39499999999999,-2.21305280923843
74488,GRB100P16144,16,14.9,14.9,4.37420016527176,60.0,14.9,5.96,2023-10-30,8.940000000000001,11.625799834728241
107581,GRB100P893,0,15.9,15.9,24.0457998514175,55.0,15.9,7.155,2023-10-30,8.745000000000001,-24.0457998514175
41245,GRB101P10372,16,10.9,10.9,4.59882274270058,55.0,10.9,4.905,2023-10-30,5.995,11.40117725729942
113319,GRB101P10373,40,12.9,12.9,4.90866482257843,60.0,12.9,5.16,2023-10-30,7.74,35.09133517742157
46519,GRB101P10932,0,26.9,26.9,4.63129006326199,60.0,26.9,10.76,2023-10-30,16.14,-4.63129006326199
67146,GRB101P12754,0,29.9,29.9,8.49496486783028,60.0,29.9,11.96,2023-10-30,17.939999999999998,-8.49496486783028
108990,GRB101P14552,56,24.9,24.9,8.56884294748306,60.0,24.9,9.96,2023-10-30,14.939999999999998,47.43115705251694
119210,GRB101P15801,0,6.9,6.9,6.29300618171692,60.0,6.9,2.76,2023-10-30,4.140000000000001,-6.29300618171692
118678,GRB101P15802,0,8.89999999999999,8.89999999999999,6.31168878078461,50.0,8.9,4.45,2023-10-30,4.4499999999999895,-6.31168878078461
26542,GRB101P15803,0,19.9,24.1857142857143,3.85024407505989,55.0,24.9,11.205,2023-10-30,8.694999999999999,-3.85024407505989
4622,GRB101P1657,0,13.9,13.9,8.7023738026619,60.0,13.9,5.56,2023-10-30,8.34,-8.7023738026619
106603,GRB101P16857,0,39.9,39.9,30.5142841339111,60.0,39.9,15.96,2023-10-30,23.939999999999998,-30.5142841339111
24493,GRB101P4021,0,10.9,10.9,5.85294765233994,60.0,10.9,4.36,2023-10-30,6.54,-5.85294765233994
13134,GRB101P4023,0,7.89999999999999,7.89999999999999,3.12569336593151,60.0,7.9,3.16,2023-10-30,4.7399999999999896,-3.12569336593151
12789,GRB101P4024,0,7.89999999999999,7.89999999999999,6.55876061320305,60.0,7.9,3.16,2023-10-30,4.7399999999999896,-6.55876061320305
112135,GRB102P176,8,31.9,31.9,10.3916839957237,65.0,31.9,11.165,2023-10-30,20.735,-2.3916839957236995
4399,GRB103P17651,24,29.9,29.9,7.19301265478134,65.0,29.9,10.465,2023-10-30,19.435,16.80698734521866
107630,GRB103P17652,0,24.9,24.9,9.13336533308029,65.0,24.9,8.715,2023-10-30,16.185,-9.13336533308029
72751,GRB103P892,0,19.9000000000001,19.9000000000001,27.1211462020874,55.0,19.9,8.955,2023-10-30,10.945000000000102,-27.1211462020874
31746,GRB103P9819,0,8.89999999999999,8.89999999999999,2.85738161206245,60.0,8.9,3.56,2023-10-30,5.339999999999989,-2.85738161206245
6315,GRB103P9820,0,7.89999999999999,7.89999999999999,4.75152489542961,60.0,7.9,3.16,2023-10-30,4.7399999999999896,-4.75152489542961
